\begin{tabular}{lrrrrrrrr}
\toprule
algorithm & function & dim & min & max & median & mean & std & ranking \\
ctxt1_sol_3 & 4 & 10 & 68.638294 & 101.854720 & 90.312466 & 88.338566 & 8.037002 & 1.000000 \\
ctxt1_sol_8 & 4 & 10 & 64.558015 & 116.030146 & 95.991701 & 95.703120 & 12.177016 & 3.000000 \\
ctxt1_sol_0 & 5 & 10 & 1155.961864 & 3826.465304 & 2637.438261 & 2563.954873 & 636.961632 & 3.500000 \\
ctxt1_sol_1 & 5 & 10 & 1157.533447 & 4159.238798 & 2486.117456 & 2641.106899 & 712.747534 & 3.500000 \\
ctxt1_sol_2 & 5 & 10 & 1645.227845 & 4387.236267 & 2748.311773 & 2881.351201 & 706.745111 & 5.000000 \\
ctxt1_sol_3 & 5 & 10 & 1042.941825 & 2639.675638 & 2204.862319 & 2155.788421 & 341.247070 & 1.000000 \\
ctxt1_sol_8 & 5 & 10 & 978.001773 & 3610.708379 & 2146.484680 & 2268.411132 & 604.993625 & 2.000000 \\
ctxt1_sol_0 & 6 & 10 & 1556322.507927 & 1013113569.161367 & 168050260.324822 & 264116910.799397 & 262136577.079814 & 4.000000 \\
ctxt1_sol_1 & 6 & 10 & 3869359.004258 & 1302762743.410592 & 114427576.467746 & 244474841.199648 & 331030485.733438 & 2.500000 \\
ctxt1_sol_2 & 6 & 10 & 33431363.628014 & 1006929719.377246 & 219870698.254511 & 332646388.073735 & 297545974.956924 & 5.000000 \\
ctxt1_sol_3 & 6 & 10 & 222980.848116 & 262865579.458771 & 17362777.488527 & 34025344.328767 & 48935729.562674 & 1.000000 \\
ctxt1_sol_8 & 6 & 10 & 9860017.352192 & 451413130.171348 & 124825787.332085 & 175511181.537097 & 121745502.937692 & 2.500000 \\
ctxt1_sol_0 & 7 & 10 & 84.922860 & 290.309180 & 159.151762 & 174.598185 & 57.310836 & 4.500000 \\
ctxt1_sol_1 & 7 & 10 & 89.262357 & 263.563183 & 138.080768 & 150.222769 & 51.217431 & 3.000000 \\
ctxt1_sol_2 & 7 & 10 & 98.311314 & 295.525682 & 152.430865 & 168.772075 & 51.584057 & 4.500000 \\
ctxt1_sol_3 & 7 & 10 & 55.599295 & 229.504949 & 115.374391 & 123.165387 & 42.130010 & 1.500000 \\
ctxt1_sol_8 & 7 & 10 & 86.664455 & 186.927422 & 124.392243 & 130.046876 & 27.907896 & 1.500000 \\
ctxt1_sol_0 & 8 & 10 & 56.079837 & 3671.312709 & 214.976917 & 350.211332 & 631.836439 & 4.000000 \\
ctxt1_sol_1 & 8 & 10 & 51.227416 & 279.453687 & 188.901357 & 171.774286 & 63.853374 & 2.000000 \\
ctxt1_sol_2 & 8 & 10 & 50.803319 & 3805.255392 & 225.304188 & 400.574992 & 677.841026 & 5.000000 \\
ctxt1_sol_3 & 8 & 10 & 49.567939 & 292.124691 & 126.746399 & 137.242369 & 68.468521 & 1.000000 \\
ctxt1_sol_8 & 8 & 10 & 41.710308 & 295.328894 & 196.049057 & 179.714344 & 59.739861 & 3.000000 \\
ctxt1_sol_0 & 9 & 10 & 267.743030 & 540.808709 & 360.970106 & 378.354137 & 75.532346 & 3.000000 \\
ctxt1_sol_1 & 9 & 10 & 255.950915 & 640.307092 & 311.422030 & 352.428621 & 99.666639 & 3.000000 \\
ctxt1_sol_2 & 9 & 10 & 269.497296 & 612.459541 & 420.210584 & 425.122430 & 73.615239 & 5.000000 \\
ctxt1_sol_3 & 9 & 10 & 253.008753 & 358.746646 & 279.456064 & 286.020785 & 26.791016 & 1.000000 \\
ctxt1_sol_8 & 9 & 10 & 280.876665 & 491.728131 & 361.458957 & 365.629863 & 56.075420 & 3.000000 \\
ctxt1_sol_0 & 10 & 10 & 120.214763 & 2203.742017 & 473.703648 & 841.635922 & 692.009634 & 4.000000 \\
ctxt1_sol_1 & 10 & 10 & 134.485777 & 1948.257468 & 205.894098 & 601.940794 & 605.512745 & 3.000000 \\
ctxt1_sol_2 & 10 & 10 & 153.497431 & 2155.200605 & 503.814588 & 943.067340 & 797.503635 & 5.000000 \\
ctxt1_sol_3 & 10 & 10 & 122.115569 & 1586.818573 & 149.195747 & 303.636082 & 394.129230 & 1.000000 \\
ctxt1_sol_8 & 10 & 10 & 151.307247 & 1828.224025 & 184.477839 & 466.955192 & 506.957064 & 2.000000 \\
ctxt1_sol_0 & 11 & 10 & 509.166680 & 2609.900166 & 1622.412362 & 1611.657432 & 574.897136 & 4.000000 \\
ctxt1_sol_1 & 11 & 10 & 728.003347 & 2533.477186 & 1214.685769 & 1441.710515 & 594.789949 & 4.000000 \\
ctxt1_sol_2 & 11 & 10 & 573.406067 & 2943.434524 & 1688.659242 & 1722.746406 & 680.791359 & 4.000000 \\
ctxt1_sol_3 & 11 & 10 & 374.369624 & 2075.283095 & 865.473085 & 1080.876529 & 500.325948 & 1.500000 \\
ctxt1_sol_8 & 11 & 10 & 460.111777 & 1879.268991 & 1038.214489 & 1089.058139 & 414.230362 & 1.500000 \\
ctxt1_sol_0 & 12 & 10 & 173.579701 & 381.792643 & 226.392492 & 234.003068 & 48.085105 & 4.000000 \\
ctxt1_sol_1 & 12 & 10 & 170.643864 & 270.930973 & 200.595553 & 203.608893 & 22.361904 & 2.000000 \\
ctxt1_sol_2 & 12 & 10 & 183.428958 & 403.032128 & 223.222371 & 236.318445 & 45.468413 & 4.000000 \\
ctxt1_sol_3 & 12 & 10 & 166.921457 & 213.333790 & 172.073256 & 176.242668 & 10.320681 & 1.000000 \\
ctxt1_sol_8 & 12 & 10 & 185.369326 & 261.281555 & 219.441093 & 217.453400 & 15.520864 & 4.000000 \\
\bottomrule
\end{tabular}
