\begin{tabular}{lrrrrrrrr}
\toprule
algorithm & function & dim & min & max & median & mean & std & ranking \\
ctxt1_sol_1 & 7 & 10 & 103.936310 & 272.617072 & 154.369490 & 163.046401 & 38.543835 & 3.000000 \\
ctxt1_sol_2 & 7 & 10 & 25.140769 & 34.910003 & 29.725371 & 29.760837 & 2.846613 & 2.000000 \\
ctxt1_sol_3 & 7 & 10 & 3.979898 & 65.370055 & 22.257049 & 24.177249 & 13.678082 & 1.000000 \\
ctxt1_sol_0 & 8 & 10 & 75.988307 & 360.563014 & 139.963442 & 150.070353 & 63.617161 & 4.000000 \\
ctxt1_sol_1 & 8 & 10 & 46.053464 & 195.371543 & 89.924233 & 99.816680 & 40.129134 & 3.000000 \\
ctxt1_sol_2 & 8 & 10 & 16.296356 & 31.842790 & 26.989194 & 26.121663 & 3.772235 & 2.000000 \\
ctxt1_sol_3 & 8 & 10 & 0.041841 & 20.837900 & 20.119192 & 17.195726 & 6.576866 & 1.000000 \\
ctxt1_sol_0 & 9 & 10 & 396.227709 & 1021.984818 & 622.145585 & 624.017141 & 152.379441 & 3.500000 \\
ctxt1_sol_1 & 9 & 10 & 397.973149 & 743.139653 & 531.675580 & 556.341375 & 95.181324 & 3.500000 \\
ctxt1_sol_2 & 9 & 10 & 229.330429 & 229.816779 & 229.574178 & 229.565722 & 0.123370 & 2.000000 \\
ctxt1_sol_3 & 9 & 10 & 229.284383 & 229.284383 & 229.284383 & 229.284383 & 0.000000 & 1.000000 \\
ctxt1_sol_0 & 10 & 10 & 136.835931 & 2444.923131 & 1116.041450 & 1137.341424 & 837.007350 & 4.000000 \\
ctxt1_sol_1 & 10 & 10 & 122.565993 & 2210.264363 & 189.309314 & 648.862426 & 644.407356 & 3.000000 \\
ctxt1_sol_2 & 10 & 10 & 100.557763 & 101.371780 & 100.882660 & 100.900621 & 0.223648 & 2.000000 \\
ctxt1_sol_3 & 10 & 10 & 10.307338 & 100.608739 & 100.470822 & 92.440593 & 24.156902 & 1.000000 \\
ctxt1_sol_0 & 11 & 10 & 449.840993 & 3394.280480 & 1676.822000 & 1739.667778 & 845.218010 & 4.000000 \\
ctxt1_sol_1 & 11 & 10 & 334.155954 & 3097.043304 & 660.271517 & 1124.382095 & 901.014382 & 3.000000 \\
ctxt1_sol_2 & 11 & 10 & 86.615680 & 448.972203 & 151.963558 & 187.619874 & 113.909668 & 2.000000 \\
ctxt1_sol_3 & 11 & 10 & 0.000000 & 151.075121 & 0.000000 & 30.109796 & 60.219685 & 1.000000 \\
ctxt1_sol_0 & 12 & 10 & 167.684334 & 255.603980 & 174.609664 & 184.868433 & 21.248189 & 3.500000 \\
ctxt1_sol_1 & 12 & 10 & 168.946890 & 226.694425 & 173.012781 & 181.041302 & 16.958470 & 3.500000 \\
ctxt1_sol_2 & 12 & 10 & 160.048546 & 164.468468 & 162.313267 & 162.312214 & 1.054118 & 1.000000 \\
ctxt1_sol_3 & 12 & 10 & 162.276038 & 189.942412 & 165.212606 & 166.345455 & 4.641031 & 2.000000 \\
\bottomrule
\end{tabular}
